time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
200000000,34602614,34722304,23855104,24379392,2098176,14560138
202000000,34633288,34766336,24903680,23330816,1952768,14630840
204000000,34613030,34770944,24117248,24117248,1884672,14714586
206000000,34677759,34898944,23855104,24379392,1671168,14735361
208000000,34659638,34898944,24117248,23855104,1776640,14910154
210000000,34567487,34818560,25690112,22282240,1781248,15078081
212000000,34524333,34757632,24379392,23592960,1782784,15180627
214000000,34574324,34804736,24117248,23592960,1927168,15201292
216000000,34637192,34825728,23855104,23855104,1833472,15211128
218000000,34701815,34865664,23592960,24117248,1702912,15237129
220000000,34818039,35012608,23855104,23855104,1468416,15208457
222000000,34881853,35148288,23068672,24379392,1512448,15227075
224000000,34830597,35082752,24641536,22806528,1512960,15343355
226000000,34780381,35039744,24117248,23068672,1713664,15498019
228000000,34835117,35051520,23330816,23592960,1812992,15594323
230000000,34898834,35118080,23068672,23855104,1688064,15588974
232000000,34962289,35143168,23592960,23068672,1849344,15601295
234000000,35024853,35236864,23330816,23068672,1933824,15622699
236000000,35027568,35233280,23855104,22544384,1869824,15687568
238000000,34901797,35103744,24379392,22020096,1948672,15864027
240000000,34765534,34982912,25690112,20709376,2022400,16047394
242000000,34490702,34697216,26214400,20185088,2274816,16355506
244000000,34387931,34564608,25165824,21233664,2363392,16502309
246000000,34449490,34584064,23855104,22544384,2289664,16495022
248000000,34622368,34759680,23592960,22806528,2059264,16376928
250000000,34822399,34893312,22544384,23855104,1859584,16242945
252000000,35042633,35142144,22544384,23855104,1543680,16089783
254000000,35103087,35186176,24117248,22282240,1429504,16099473
256000000,35051743,35164672,23068672,23330816,1410560,16191265
258000000,35104470,35217408,23068672,23330816,1302016,16194346
260000000,35231916,35364352,22806528,23592960,1083392,16138580
262000000,35245130,35361280,23330816,23068672,1029120,16182710
264000000,35321607,35389440,21757952,24641536,940544,16166649
266000000,35547027,35628032,21233664,25165824,635904,16007277
268000000,35710318,35785728,20971520,25427968,400384,15921810
270000000,35816450,35889664,21757952,24379392,495104,15879166
272000000,35864235,35893760,22020096,24117248,431104,15891285
274000000,35794286,35793408,22806528,23330816,493056,15999634
276000000,35709330,35698688,22544384,23330816,817664,16116846
278000000,35806705,35737088,20971520,24903680,731648,16067087
280000000,35906975,35850240,21233664,24641536,563200,16022113
282000000,36012854,35906560,20971520,24641536,702976,15982282
284000000,36113371,35947520,20709376,24641536,864256,15941669
286000000,36175853,36035072,21495808,23855104,727040,15928851
288000000,36167494,36065280,21495808,23592960,912384,15983802
290000000,36139942,36060672,21757952,23330816,877056,16051290
292000000,36136201,36091392,20971520,24117248,820736,16080631
294000000,36246083,36186112,20185088,24641536,940544,16018365
296000000,36316351,36295680,20709376,24117248,779264,15999809
298000000,36309157,36256256,20971520,23855104,785920,16039771
300000000,36370991,36279808,20971520,23592960,970240,16032209
302000000,36434383,36282880,20447232,24117248,905728,16030257
304000000,36498985,36376064,20447232,24117248,758784,16019415
306000000,36478814,36334592,20971520,23592960,766976,16072866
308000000,36381298,36289536,22020096,22544384,781312,16201102
310000000,36253816,36103168,22020096,22544384,948224,16348040
312000000,36166485,36024320,21757952,22806528,1009152,16453291
314000000,36058637,35857920,22544384,22020096,1154048,16582643
316000000,35941208,35742720,22544384,22020096,1250304,16719016
318000000,35852950,35642880,22806528,21757952,1329664,16827754
320000000,35837179,35677696,22020096,22544384,1276416,16861957
322000000,35764494,35638784,22806528,21757952,1296384,16953586
324000000,35771438,35622912,22544384,22020096,1291264,16967634
326000000,35781441,35571200,22544384,22020096,1318912,16981695
328000000,35846037,35659264,21495808,23068672,1198592,16949355
330000000,35909557,35650048,20971520,23592960,1180160,16913483
332000000,36055803,35755008,20709376,23855104,1048064,16794373
334000000,36142621,35831296,20447232,24117248,943616,16735715
336000000,36344064,36054016,20447232,24117248,687104,16568064
338000000,36421946,36167168,21233664,23068672,811520,16514758
340000000,36459407,36138496,21495808,22544384,1074688,16504945
342000000,36378599,36101632,21495808,22544384,1102336,16594969
344000000,36390410,36119040,21233664,22806528,1071616,16596470
346000000,36397634,36150784,22282240,21757952,1022464,16606654
348000000,36229227,35977728,23068672,20971520,1189888,16780693
350000000,36052055,35790848,23330816,20709376,1377792,16956841
352000000,35925218,35624960,23068672,20971520,1543168,17084190
354000000,35834734,35588096,22020096,22020096,1576448,17178258
356000000,35899223,35670528,22020096,21757952,1665536,17204393
358000000,35937194,35718656,22806528,20971520,1611264,17172566
360000000,35887260,35649024,22806528,20971520,1683456,17219940
362000000,35690694,35484672,24117248,19660800,1855488,17408826
364000000,35564297,35309056,23592960,20185088,2034688,17531639
366000000,35429755,35197952,24379392,19398656,2156544,17655429
368000000,35323154,35117056,23592960,20185088,2247680,17751790
370000000,35196642,34991104,24117248,19660800,2390016,17861918
372000000,35113698,34886144,23330816,20447232,2513408,17926430
374000000,35158915,34908160,23855104,19922944,2509312,17863293
376000000,35053743,34871808,24641536,19136512,2572288,17941841
378000000,34926365,34732032,25427968,18350080,2744320,18036963
380000000,34789973,34553344,25165824,18612224,2953216,18143147
382000000,34768441,34501632,24379392,19398656,3034112,18135495
384000000,34830366,34561536,24379392,19398656,3004928,18042850
386000000,34894071,34655744,23592960,20185088,2946048,17943817
388000000,34956822,34706432,23592960,20185088,2935808,17840618
390000000,35019150,34715136,23330816,20447232,2959360,17746034
392000000,35092415,34787840,23592960,20185088,2923520,17635905
394000000,35157498,34798592,23592960,20185088,2959360,17524230
396000000,35218617,34803712,23330816,20447232,2997248,17420103
398000000,35280386,34919936,23330816,20447232,2930176,17309182
