percentage used,prob
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0.9999999999999999
14,0.9999999999999997
15,0.9999999999999982
16,0.9999999999999919
17,0.9999999999999658
18,0.9999999999998648
19,0.9999999999994922
20,0.9999999999981883
21,0.9999999999938423
22,0.9999999999800138
23,0.9999999999379269
24,0.9999999998151734
25,0.9999999994714639
26,0.999999998546092
27,0.9999999961469799
28,0.9999999901491994
29,0.9999999756717983
30,0.9999999418911957
31,0.9999998656124157
32,0.9999996987525844
33,0.9999993448074878
34,0.9999986160969946
35,0.9999971586760082
36,0.9999943248018681
37,0.9999889634183597
38,0.9999790871855813
39,0.9999613606139275
40,0.9999303391135335
41,0.9998773755762753
42,0.9997891030141784
43,0.9996454034944857
44,0.9994167906222475
45,0.9990611705987656
46,0.9985200096934674
47,0.9977140253664274
48,0.9965386315561605
49,0.9948594975414944
50,0.9925087099209611
51,0.9892821386770888
52,0.9849386773872666
53,0.9792020304007082
54,0.9717656361588705
55,0.9623011343965361
56,0.9504705071936111
57,0.9359416667689684
58,0.9184068593599078
59,0.8976028505695159
60,0.8733315069807335
61,0.8454791454853744
62,0.8140329308938614
63,0.7790926924588322
64,0.7408768066705989
65,0.6997212373600223
66,0.6560713911216387
67,0.6104670741561736
68,0.5635214537505102
69,0.5158954620346258
70,0.468269470318925
71,0.421314267218745
72,0.3756633753157928
73,0.33188854746362495
74,0.29047992652245713
75,0.25183188031068837
76,0.21623499564192494
77,0.18387419139760458
78,0.15483244399887194
79,0.12909925010124484
80,0.10658270544082397
81,0.08712396314170094
82,0.07051284166683665
83,0.056503462109726794
84,0.044828979145460475
85,0.035214699057245585
86,0.02738912224125007
87,0.021092681124939474
88,0.016084148418781113
89,0.01214485303191522
90,0.009080956619908044
91,0.006724113226056693
92,0.00493086281769171
93,0.003581104445803358
94,0.0025759652326953607
95,0.0018353363388265407
96,0.0012952944370468544
97,0.0009055734769999031
98,0.0006272013626804972
99,0.00043037259497986853
100,0.0002925924575894635
